0.36 -0.1335692098970851 -0.29696344381029016 1	0.36 -0.1335692098970851 -0.29696344381029016 1
1.32 0.3365047855854324 -0.5633393990674342 1	1.32 0.3365047855854324 -0.5633393990674342 1
2.32 0.22219919352162965 -0.7264794781349639 1	2.32 0.22219919352162965 -0.7264794781349639 1
3.32 0.08395906366718764 -0.692559702254155 1	3.32 0.08395906366718764 -0.692559702254155 1
4.32 -1.1406312394279912 -0.32343827342062204 1	4.32 -1.1406312394279912 -0.32343827342062204 1
5.32 -3.0014004008922632 0.533448715764854 1	5.32 -3.0014004008922632 0.533448715764854 1
6.32 -2.948551775291339 0.7815553672635773 1	6.32 -2.948551775291339 0.7815553672635773 1
7.32 -3.0457268909336475 0.4389945335198193 1	7.32 -3.0457268909336475 0.4389945335198193 1
8.32 -2.4295607317501577 -0.4258359726902585 1	8.32 -2.4295607317501577 -0.4258359726902585 1
9.32 -0.45865116459406563 -0.725743402976228 1	9.32 -0.45865116459406563 -0.725743402976228 1
10.32 1.6404548607029428 -0.18980811662605723 1	10.32 1.6404548607029428 -0.18980811662605723 1
11.32 1.162827219844134 0.8934962825370234 1	11.32 1.162827219844134 0.8934962825370234 1
12.32 1.72717915422382 1.0633078477637163 1	12.32 1.72717915422382 1.0633078477637163 1
13.32 0.37697226887485336 0.4857222684900486 1	13.32 0.37697226887485336 0.4857222684900486 1
14.32 -1.9424102952397875 -0.22714971522515648 1	14.32 -1.9424102952397875 -0.22714971522515648 1
15.32 -1.2365560011941712 -0.7390398797232809 1	15.32 -1.2365560011941712 -0.7390398797232809 1
16.32 -0.7923454813915969 -0.6856852692095696 1	16.32 -0.7923454813915969 -0.6856852692095696 1
17.32 -1.1379351246126803 -0.5230293095699583 1	17.32 -1.1379351246126803 -0.5230293095699583 1
18.32 -1.0213939752165828 -0.5943013654648883 1	18.32 -1.0213939752165828 -0.5943013654648883 1
19.32 -0.8462759458387112 -0.6617736650453017 1	19.32 -0.8462759458387112 -0.6617736650453017 1
20.32 -0.723549628826226 -0.4090381909307792 1	20.32 -0.723549628826226 -0.4090381909307792 1
21.32 -0.3932256126274658 -0.5029290856130255 1	21.32 -0.3932256126274658 -0.5029290856130255 1
22.32 -0.08237507265124755 -0.4567398196236212 1	22.32 -0.08237507265124755 -0.4567398196236212 1
23.32 -0.5990740730242217 -0.689929246725304 1	23.32 -0.5990740730242217 -0.689929246725304 1
24.32 -0.47982738403485303 -0.7640284218491997 1	24.32 -0.47982738403485303 -0.7640284218491997 1
25.32 0.26758515426951046 -0.5380539764357515 1	25.32 0.26758515426951046 -0.5380539764357515 1
26.32 0.5713991550202189 -0.3542632663783798 1	26.32 0.5713991550202189 -0.3542632663783798 1
27.32 0.7693597045823415 -0.495673891538825 1	27.32 0.7693597045823415 -0.495673891538825 1
28.32 0.7321085838516659 -0.44235886509254874 1	28.32 0.7321085838516659 -0.44235886509254874 1
29.32 0.7114224528648383 -0.3158861988406576 1	29.32 0.7114224528648383 -0.3158861988406576 1
30.32 0.548954360465912 -0.24593266938243907 1	30.32 0.548954360465912 -0.24593266938243907 1
31.32 0.27170755214955156 0.32438703440200634 1	31.32 0.27170755214955156 0.32438703440200634 1
