0.36 0.09958031897789743 -0.0605922116690516 1	0.36 0.09958031897789743 -0.0605922116690516 1
1.32 0.3990670900075508 -0.21199781385689298 1	1.32 0.3990670900075508 -0.21199781385689298 1
2.32 0.28046819742335183 -0.4902439627963604 1	2.32 0.28046819742335183 -0.4902439627963604 1
3.32 0.4453540595284813 -0.45435315168468904 1	3.32 0.4453540595284813 -0.45435315168468904 1
4.32 0.31342853090775424 -0.46328532791737587 1	4.32 0.31342853090775424 -0.46328532791737587 1
5.32 0.2757740296803579 -0.44895683798361796 1	5.32 0.2757740296803579 -0.44895683798361796 1
6.32 0.20784588500590884 -0.498905647901573 1	6.32 0.20784588500590884 -0.498905647901573 1
7.32 -0.05184130533247755 -0.5848894680339987 1	7.32 -0.05184130533247755 -0.5848894680339987 1
8.32 -0.12549720173295142 -0.471146849373719 1	8.32 -0.12549720173295142 -0.471146849373719 1
9.32 -0.10380199118579103 -0.4236186365953549 1	9.32 -0.10380199118579103 -0.4236186365953549 1
10.32 0.05022150016028659 -0.2627313936197144 1	10.32 0.05022150016028659 -0.2627313936197144 1
11.32 0.10537278751258583 -0.07910216142473714 1	11.32 0.10537278751258583 -0.07910216142473714 1
12.32 0.11115268967666081 0.08824828011713337 1	12.32 0.11115268967666081 0.08824828011713337 1
13.32 0.3924898516279951 0.284591223621923 1	13.32 0.3924898516279951 0.284591223621923 1
14.32 0.5802238887841522 0.2845447280506499 1	14.32 0.5802238887841522 0.2845447280506499 1
15.32 1.0321068061653245 0.1485750272069568 1	15.32 1.0321068061653245 0.1485750272069568 1
16.32 1.1696344228059319 0.17423932591266245 1	16.32 1.1696344228059319 0.17423932591266245 1
17.32 0.9795146601886389 -0.18899852819922747 1	17.32 0.9795146601886389 -0.18899852819922747 1
18.32 -0.11911348546085732 -0.30924298701537656 1	18.32 -0.11911348546085732 -0.30924298701537656 1
19.32 -0.8529116178416238 -0.4422658739500025 1	19.32 -0.8529116178416238 -0.4422658739500025 1
20.32 -0.3559248547328635 -0.4453370949281519 1	20.32 -0.3559248547328635 -0.4453370949281519 1
21.32 -0.42731126460038427 -0.3531743903646456 1	21.32 -0.42731126460038427 -0.3531743903646456 1
22.32 -0.1326267321010084 -0.42825154328160364 1	22.32 -0.1326267321010084 -0.42825154328160364 1
23.32 -0.21819994607360993 -0.5247876589781724 1	23.32 -0.21819994607360993 -0.5247876589781724 1
24.32 -0.02439823686630893 -0.5383078171221616 1	24.32 -0.02439823686630893 -0.5383078171221616 1
25.32 0.044271323674387464 -0.5463754270565802 1	25.32 0.044271323674387464 -0.5463754270565802 1
26.32 -0.18659740893408872 -0.6469211574569251 1	26.32 -0.18659740893408872 -0.6469211574569251 1
27.32 -0.038357589663270186 -0.6369192689256913 1	27.32 -0.038357589663270186 -0.6369192689256913 1
28.32 -0.3936748603769291 -0.4668557479681805 1	28.32 -0.3936748603769291 -0.4668557479681805 1
29.32 -0.39135762163564136 -0.11943738366344236 1	29.32 -0.39135762163564136 -0.11943738366344236 1
30.32 0.063313773384857 -0.44430288262659046 1	30.32 0.063313773384857 -0.44430288262659046 1
31.32 0.28987349750966906 0.10091298258154979 1	31.32 0.28987349750966906 0.10091298258154979 1
32.32 -0.37174026046956543 0.18118381647342274 1	32.32 -0.37174026046956543 0.18118381647342274 1
33.32 -1.3630503444353723 -0.12233173297519429 1	33.32 -1.3630503444353723 -0.12233173297519429 1
34.32 -1.5212427292327633 -0.3848114850233564 1	34.32 -1.5212427292327633 -0.3848114850233564 1
35.32 -1.4534779473763006 -0.38028759160218706 1	35.32 -1.4534779473763006 -0.38028759160218706 1
36.32 -1.4550204693692133 -0.36177984096135885 1	36.32 -1.4550204693692133 -0.36177984096135885 1
37.32 -1.4546214871022074 -0.36638478747299064 1	37.32 -1.4546214871022074 -0.36638478747299064 1
38.32 -1.454696257007363 -0.3386589756679994 1	38.32 -1.454696257007363 -0.3386589756679994 1
39.32 -1.416245047883016 -0.3369989581098425 1	39.32 -1.416245047883016 -0.3369989581098425 1
40.32 -1.4034066153448557 -0.37412535761217036 1	40.32 -1.4034066153448557 -0.37412535761217036 1
41.32 -1.4190951007383525 -0.3851768522489687 1	41.32 -1.4190951007383525 -0.3851768522489687 1
42.32 -1.3773521308315742 -0.3884651572794813 1	42.32 -1.3773521308315742 -0.3884651572794813 1
43.32 -1.356779725498807 -0.4233311808675515 1	43.32 -1.356779725498807 -0.4233311808675515 1
44.32 -1.3388556827730156 -0.40154329333711014 1	44.32 -1.3388556827730156 -0.40154329333711014 1
45.32 -1.305298446684431 -0.3432566965165278 1	45.32 -1.305298446684431 -0.3432566965165278 1
46.32 -1.2094283486304234 -0.3597582260887737 1	46.32 -1.2094283486304234 -0.3597582260887737 1
47.32 -1.3137040919883758 -0.0622553708198621 1	47.32 -1.3137040919883758 -0.0622553708198621 1
48.32 -1.7559611694789483 0.0309135858705889 1	48.32 -1.7559611694789483 0.0309135858705889 1
49.32 -2.546436335100157 0.17412434362154117 1	49.32 -2.546436335100157 0.17412434362154117 1
50.32 -2.254004136037845 0.12963216598360638 1	50.32 -2.254004136037845 0.12963216598360638 1
51.32 -2.1262958813952975 0.09135877100345269 1	51.32 -2.1262958813952975 0.09135877100345269 1
