0.36 0.04010620013425781 -0.06493420687557827 1	0.36 0.04010620013425781 -0.06493420687557827 1
1.32 0.12051652073995012 -0.464766274694278 1	1.32 0.12051652073995012 -0.464766274694278 1
2.32 0.1747969586086744 -0.5723281239678855 1	2.32 0.1747969586086744 -0.5723281239678855 1
3.32 -0.04263329726480558 -0.489905613267569 1	3.32 -0.04263329726480558 -0.489905613267569 1
4.32 -0.0646759679594533 -0.19978204498267438 1	4.32 -0.0646759679594533 -0.19978204498267438 1
5.32 -0.05794416322134088 -0.3310981046286048 1	5.32 -0.05794416322134088 -0.3310981046286048 1
6.32 -0.15956840237966352 -0.7183198195357954 1	6.32 -0.15956840237966352 -0.7183198195357954 1
7.32 -0.24388623592789083 -0.7395588708296543 1	7.32 -0.24388623592789083 -0.7395588708296543 1
8.32 -0.298746611800468 -0.5805163710602019 1	8.32 -0.298746611800468 -0.5805163710602019 1
9.32 -0.20138300059894343 -0.02332538297510789 1	9.32 -0.20138300059894343 -0.02332538297510789 1
10.32 0.20284572613845508 0.2924558866709195 1	10.32 0.20284572613845508 0.2924558866709195 1
11.32 0.09060478876659106 0.16115930489944152 1	11.32 0.09060478876659106 0.16115930489944152 1
12.32 0.2279288302032465 0.2764557552861868 1	12.32 0.2279288302032465 0.2764557552861868 1
13.32 -0.10531246893363733 0.35536125301080945 1	13.32 -0.10531246893363733 0.35536125301080945 1
14.32 -1.100531950797571 -0.15739190698925642 1	14.32 -1.100531950797571 -0.15739190698925642 1
15.32 -1.2416818237677685 -0.470512561816959 1	15.32 -1.2416818237677685 -0.470512561816959 1
16.32 -1.1131850293691694 -0.3428740505313208 1	16.32 -1.1131850293691694 -0.3428740505313208 1
17.32 -0.6986751265136326 -0.306456080172377 1	17.32 -0.6986751265136326 -0.306456080172377 1
18.32 0.614406930129332 0.03932582851910649 1	18.32 0.614406930129332 0.03932582851910649 1
19.32 1.5426954088270666 0.4194544555330215 1	19.32 1.5426954088270666 0.4194544555330215 1
20.32 2.45124840247495 0.3090076817256229 1	20.32 2.45124840247495 0.3090076817256229 1
21.32 2.6813945687731 0.3181723358146751 1	21.32 2.6813945687731 0.3181723358146751 1
22.32 1.1093962686289407 -0.15461191165009502 1	22.32 1.1093962686289407 -0.15461191165009502 1
23.32 0.9957127119105476 0.12305838335596975 1	23.32 0.9957127119105476 0.12305838335596975 1
24.32 -1.0311750097842691 0.024614064281610615 1	24.32 -1.0311750097842691 0.024614064281610615 1
25.32 -2.3047163529706225 0.17241029066974245 1	25.32 -2.3047163529706225 0.17241029066974245 1
26.32 -2.2130999713695756 0.20469298261876578 1	26.32 -2.2130999713695756 0.20469298261876578 1
27.32 -2.2428671900808697 0.17155295003457782 1	27.32 -2.2428671900808697 0.17155295003457782 1
28.32 -1.791866431916826 0.09406399643745877 1	28.32 -1.791866431916826 0.09406399643745877 1
29.32 -0.6770157301227235 -0.06518113605815024 1	29.32 -0.6770157301227235 -0.06518113605815024 1
30.32 0.30425131044808795 0.053333561842932475 1	30.32 0.30425131044808795 0.053333561842932475 1
31.32 0.24056117426333135 0.617854828066647 1	31.32 0.24056117426333135 0.617854828066647 1
32.32 -0.507840337408382 0.9735707668880469 1	32.32 -0.507840337408382 0.9735707668880469 1
33.32 0.3990972492970255 0.9807065804414107 1	33.32 0.3990972492970255 0.9807065804414107 1
34.32 0.36584663265143025 0.9271176071157413 1	34.32 0.36584663265143025 0.9271176071157413 1
35.32 -0.7838524998118821 0.6833985039170217 1	35.32 -0.7838524998118821 0.6833985039170217 1
36.32 -0.3067180889996868 1.1506742828229872 1	36.32 -0.3067180889996868 1.1506742828229872 1
37.32 0.5762095616913951 1.2203871662839407 1	37.32 0.5762095616913951 1.2203871662839407 1
38.32 -0.18001451568775684 1.0630153654876673 1	38.32 -0.18001451568775684 1.0630153654876673 1
39.32 -1.637115976030708 0.06963277284828706 1	39.32 -1.637115976030708 0.06963277284828706 1
40.32 -1.4600331946072813 -0.5086276205273719 1	40.32 -1.4600331946072813 -0.5086276205273719 1
41.32 -1.2900083152394097 -0.5900017817591854 1	41.32 -1.2900083152394097 -0.5900017817591854 1
