0.36 0.000651566316354657 -0.24408164299094404 1	0.36 0.000651566316354657 -0.24408164299094404 1
1.32 0.14239771357220343 -0.39933129794971767 1	1.32 0.14239771357220343 -0.39933129794971767 1
2.32 0.2314040599966476 -0.5673113146593676 1	2.32 0.2314040599966476 -0.5673113146593676 1
3.32 0.1531331639880502 -0.5649149077832094 1	3.32 0.1531331639880502 -0.5649149077832094 1
4.32 0.10020738087155401 -0.5676122792355813 1	4.32 0.10020738087155401 -0.5676122792355813 1
5.32 0.09700044309076938 -0.5701908984856483 1	5.32 0.09700044309076938 -0.5701908984856483 1
6.32 0.07023218872659198 -0.5658156023969938 1	6.32 0.07023218872659198 -0.5658156023969938 1
7.32 0.04680470399024239 -0.5756403051025649 1	7.32 0.04680470399024239 -0.5756403051025649 1
8.32 0.03553266954916179 -0.5756657520030593 1	8.32 0.03553266954916179 -0.5756657520030593 1
9.32 0.022681042321856637 -0.5683166243085163 1	9.32 0.022681042321856637 -0.5683166243085163 1
10.32 0.024124289986915848 -0.5411035204245911 1	10.32 0.024124289986915848 -0.5411035204245911 1
11.32 0.018050963068995785 -0.5191733187469421 1	11.32 0.018050963068995785 -0.5191733187469421 1
12.32 0.00328359264153244 -0.5289694329593657 1	12.32 0.00328359264153244 -0.5289694329593657 1
13.32 0.010031105342912294 -0.5204126770487831 1	13.32 0.010031105342912294 -0.5204126770487831 1
14.32 -0.04099966908493924 -0.5023067361083489 1	14.32 -0.04099966908493924 -0.5023067361083489 1
15.32 -0.3966179043748119 -0.5309445522606775 1	15.32 -0.3966179043748119 -0.5309445522606775 1
16.32 0.6762573496561468 -0.340668966647766 1	16.32 0.6762573496561468 -0.340668966647766 1
17.32 2.0467765164661635 -0.042408673390073925 1	17.32 2.0467765164661635 -0.042408673390073925 1
18.32 2.3244788557172944 0.22008835741768262 1	18.32 2.3244788557172944 0.22008835741768262 1
19.32 2.5146928661141956 0.29701370929274784 1	19.32 2.5146928661141956 0.29701370929274784 1
20.32 2.5416251116148905 0.2555204960019297 1	20.32 2.5416251116148905 0.2555204960019297 1
21.32 2.41234794560114 -0.07299898937660854 1	21.32 2.41234794560114 -0.07299898937660854 1
22.32 2.735521696920329 -0.18717828941573744 1	22.32 2.735521696920329 -0.18717828941573744 1
23.32 2.75842453568353 -0.3142481724310757 1	23.32 2.75842453568353 -0.3142481724310757 1
24.32 -2.795070648500977 -0.23849966116404553 1	24.32 -2.795070648500977 -0.23849966116404553 1
25.32 -2.5694481871284367 -0.08395497959673759 1	25.32 -2.5694481871284367 -0.08395497959673759 1
26.32 -2.6784744584015883 0.3585154120350136 1	26.32 -2.6784744584015883 0.3585154120350136 1
27.32 -3.0643133070545217 1.0186912630566995 1	27.32 -3.0643133070545217 1.0186912630566995 1
28.32 2.601949345430591 0.8245351821980738 1	28.32 2.601949345430591 0.8245351821980738 1
29.32 -2.502284831769577 0.29677400577327884 1	29.32 -2.502284831769577 0.29677400577327884 1
30.32 -2.3480860395534293 0.05910278259198476 1	30.32 -2.3480860395534293 0.05910278259198476 1
