0.36 0.10515978753067268 -0.042735713185312774 1	0.36 0.10515978753067268 -0.042735713185312774 1
1.32 0.2253514675902415 -0.40078616950759494 1	1.32 0.2253514675902415 -0.40078616950759494 1
2.32 0.0884666208065581 -0.5905433923326644 1	2.32 0.0884666208065581 -0.5905433923326644 1
3.32 -0.2621985795056654 -0.6698453590501701 1	3.32 -0.2621985795056654 -0.6698453590501701 1
4.32 0.8966011185565659 -0.22539450740959577 1	4.32 0.8966011185565659 -0.22539450740959577 1
5.32 1.6296735430343539 -0.04390784140436721 1	5.32 1.6296735430343539 -0.04390784140436721 1
6.32 2.841882829481735 -0.45483789943113795 1	6.32 2.841882829481735 -0.45483789943113795 1
7.32 2.846938908698422 0.27257620251826875 1	7.32 2.846938908698422 0.27257620251826875 1
8.32 2.8382109359882195 0.6461784849536166 1	8.32 2.8382109359882195 0.6461784849536166 1
9.32 2.4956139739289442 0.8833501949029897 1	9.32 2.4956139739289442 0.8833501949029897 1
10.32 2.419062785738922 1.0431714954912672 1	10.32 2.419062785738922 1.0431714954912672 1
11.32 -2.8437951797618277 0.5338445564392065 1	11.32 -2.8437951797618277 0.5338445564392065 1
12.32 -2.508618910877745 -0.2764171136965474 1	12.32 -2.508618910877745 -0.2764171136965474 1
13.32 -2.277848195960061 -0.4715561988964816 1	13.32 -2.277848195960061 -0.4715561988964816 1
14.32 -1.9298627741813499 -0.4612363811887046 1	14.32 -1.9298627741813499 -0.4612363811887046 1
15.32 -1.6271376494443759 -0.47299473417256044 1	15.32 -1.6271376494443759 -0.47299473417256044 1
16.32 -1.1813695280041514 -0.41660188940356213 1	16.32 -1.1813695280041514 -0.41660188940356213 1
17.32 -0.7031091703849093 -0.4182612786431883 1	17.32 -0.7031091703849093 -0.4182612786431883 1
18.32 -0.49882082489992596 -0.4668786815945518 1	18.32 -0.49882082489992596 -0.4668786815945518 1
19.32 -0.6122455143836625 -0.48004792383913486 1	19.32 -0.6122455143836625 -0.48004792383913486 1
20.32 -0.10428265486179011 -0.2644058625040777 1	20.32 -0.10428265486179011 -0.2644058625040777 1
21.32 -0.19241249693588358 -0.4582964787834749 1	21.32 -0.19241249693588358 -0.4582964787834749 1
22.32 -2.6497198378343993 -0.5369547331662603 1	22.32 -2.6497198378343993 -0.5369547331662603 1
23.32 -2.8123458895119486 0.26814844183229924 1	23.32 -2.8123458895119486 0.26814844183229924 1
24.32 -2.836586921081872 0.39301135600849113 1	24.32 -2.836586921081872 0.39301135600849113 1
25.32 -2.9155779329585254 0.3617308321159627 1	25.32 -2.9155779329585254 0.3617308321159627 1
26.32 3.0301214064180586 0.07327890528204328 1	26.32 3.0301214064180586 0.07327890528204328 1
27.32 1.8841368931083506 -0.308992916240151 1	27.32 1.8841368931083506 -0.308992916240151 1
28.32 1.0921520665533855 -0.37394974258283487 1	28.32 1.0921520665533855 -0.37394974258283487 1
29.32 0.5955322414665645 -0.2064990842353147 1	29.32 0.5955322414665645 -0.2064990842353147 1
30.32 -0.0990870889312836 -0.8653086566119543 1	30.32 -0.0990870889312836 -0.8653086566119543 1
31.32 0.025358935899777002 -0.09494458485825996 1	31.32 0.025358935899777002 -0.09494458485825996 1
32.32 0.7005713918393397 0.7179575939028362 1	32.32 0.7005713918393397 0.7179575939028362 1
33.32 0.9337083543437075 0.9815167971867715 1	33.32 0.9337083543437075 0.9815167971867715 1
34.32 1.1457375841271364 0.8740287753405235 1	34.32 1.1457375841271364 0.8740287753405235 1
35.32 1.4308779581449063 0.7271197347177656 1	35.32 1.4308779581449063 0.7271197347177656 1
36.32 1.3588525483316456 0.7158832002736708 1	36.32 1.3588525483316456 0.7158832002736708 1
37.32 0.09248660276609133 0.5867056227470389 1	37.32 0.09248660276609133 0.5867056227470389 1
38.32 -0.6967794895064565 0.35813716427952147 1	38.32 -0.6967794895064565 0.35813716427952147 1
39.32 0.4830751625201337 0.13782481130563773 1	39.32 0.4830751625201337 0.13782481130563773 1
40.32 1.585301060076521 0.1889906742175933 1	40.32 1.585301060076521 0.1889906742175933 1
41.32 1.7936797591964782 0.5571897314480321 1	41.32 1.7936797591964782 0.5571897314480321 1
42.32 2.441869491766923 0.5571523464954544 1	42.32 2.441869491766923 0.5571523464954544 1
43.32 -3.095072923469158 0.48320930852644217 1	43.32 -3.095072923469158 0.48320930852644217 1
44.32 -3.0874567415495044 0.251054722044852 1	44.32 -3.0874567415495044 0.251054722044852 1
45.32 -3.115879528251065 -0.08011909496670433 1	45.32 -3.115879528251065 -0.08011909496670433 1
46.32 2.665884525842327 0.019947856713233847 1	46.32 2.665884525842327 0.019947856713233847 1
47.32 2.5376572800934065 0.14351454976055433 1	47.32 2.5376572800934065 0.14351454976055433 1
48.32 1.966839948032633 0.3098577966976843 1	48.32 1.966839948032633 0.3098577966976843 1
49.32 1.6421393826837978 0.30394500516436285 1	49.32 1.6421393826837978 0.30394500516436285 1
50.32 1.472544901509468 0.22840792308291924 1	50.32 1.472544901509468 0.22840792308291924 1
51.32 1.5345926130549277 0.033920404199339727 1	51.32 1.5345926130549277 0.033920404199339727 1
52.32 2.0971745741335814 0.007340017075847305 1	52.32 2.0971745741335814 0.007340017075847305 1
53.32 2.783624506995035 0.16466972053056272 1	53.32 2.783624506995035 0.16466972053056272 1
54.32 -2.5040893625897995 0.0018309201985120538 1	54.32 -2.5040893625897995 0.0018309201985120538 1
55.32 -2.3135555380607626 -0.35307982842577235 1	55.32 -2.3135555380607626 -0.35307982842577235 1
56.32 -1.7916553168905047 -0.16233394639261856 1	56.32 -1.7916553168905047 -0.16233394639261856 1
57.32 -1.7733436016312605 -0.009015428438006623 1	57.32 -1.7733436016312605 -0.009015428438006623 1
58.32 -2.1600127103906845 0.2582712745294131 1	58.32 -2.1600127103906845 0.2582712745294131 1
59.32 -1.605853359216305 0.1995008724401779 1	59.32 -1.605853359216305 0.1995008724401779 1
60.32 -2.19288759255491 0.5263967827353411 1	60.32 -2.19288759255491 0.5263967827353411 1
61.32 -2.594586206232813 0.9376633053353116 1	61.32 -2.594586206232813 0.9376633053353116 1
62.32 -2.6056229353841394 1.0208225195128948 1	62.32 -2.6056229353841394 1.0208225195128948 1
63.32 -2.301306468304416 0.7816678362805758 1	63.32 -2.301306468304416 0.7816678362805758 1
64.32 -1.6030862444070233 0.3799863128667076 1	64.32 -1.6030862444070233 0.3799863128667076 1
65.32 -1.4520767970527997 0.20285075268670072 1	65.32 -1.4520767970527997 0.20285075268670072 1
66.32 -2.552050235508416 0.570408610856542 1	66.32 -2.552050235508416 0.570408610856542 1
67.32 2.829139901360244 0.8004244010595682 1	67.32 2.829139901360244 0.8004244010595682 1
68.32 2.667732410641169 0.8560045158090828 1	68.32 2.667732410641169 0.8560045158090828 1
69.32 2.852314173728714 0.7592887010127288 1	69.32 2.852314173728714 0.7592887010127288 1
70.32 2.9673630666143573 0.2558905756165226 1	70.32 2.9673630666143573 0.2558905756165226 1
71.32 2.6547777391748264 -0.0887741827273445 1	71.32 2.6547777391748264 -0.0887741827273445 1
72.32 2.0740273194619316 -0.19784242567834798 1	72.32 2.0740273194619316 -0.19784242567834798 1
73.32 1.5148615262347915 -0.019461538170457926 1	73.32 1.5148615262347915 -0.019461538170457926 1
74.32 1.277075006603111 -0.1527564870288849 1	74.32 1.277075006603111 -0.1527564870288849 1
75.32 1.770412495685461 0.06628163596470293 1	75.32 1.770412495685461 0.06628163596470293 1
76.32 1.3273825864021065 0.025565024377852463 1	76.32 1.3273825864021065 0.025565024377852463 1
77.32 -0.005451919891040102 -0.18059413953234382 1	77.32 -0.005451919891040102 -0.18059413953234382 1
78.32 -0.6724114119296218 0.027857130377911377 1	78.32 -0.6724114119296218 0.027857130377911377 1
79.32 -0.5759085971151814 0.2118426191798055 1	79.32 -0.5759085971151814 0.2118426191798055 1
80.32 -0.9924932077591491 0.05150232748515493 1	80.32 -0.9924932077591491 0.05150232748515493 1
81.32 -1.3895314572310111 0.17331035696499608 1	81.32 -1.3895314572310111 0.17331035696499608 1
82.32 -1.4925675281278572 0.3278302199503407 1	82.32 -1.4925675281278572 0.3278302199503407 1
83.32 -1.3225577284047225 0.5727987345473929 1	83.32 -1.3225577284047225 0.5727987345473929 1
84.32 -0.960108414048884 0.5759048272039972 1	84.32 -0.960108414048884 0.5759048272039972 1
85.32 -0.5458611483391875 0.5905760648962616 1	85.32 -0.5458611483391875 0.5905760648962616 1
86.32 -0.6725515269619722 0.20540329671774238 1	86.32 -0.6725515269619722 0.20540329671774238 1
87.32 -0.4271818309830566 0.059778225012506514 1	87.32 -0.4271818309830566 0.059778225012506514 1
88.32 0.6300652562333546 0.41252096054654896 1	88.32 0.6300652562333546 0.41252096054654896 1
89.32 1.3588217607236404 0.0628353088237148 1	89.32 1.3588217607236404 0.0628353088237148 1
90.32 0.5912106666122865 -0.28732001100083093 1	90.32 0.5912106666122865 -0.28732001100083093 1
91.32 -1.0536436804427436 -0.17478690551218334 1	91.32 -1.0536436804427436 -0.17478690551218334 1
92.32 -1.4597108672010228 0.030100541691839844 1	92.32 -1.4597108672010228 0.030100541691839844 1
93.32 -1.5973603776365903 0.022258812269214445 1	93.32 -1.5973603776365903 0.022258812269214445 1
94.32 -1.7729760352907906 -0.04155887257727797 1	94.32 -1.7729760352907906 -0.04155887257727797 1
95.32 -1.7787911232925853 -0.0322453069964459 1	95.32 -1.7787911232925853 -0.0322453069964459 1
