0.36 -0.063165490211607 -0.17366629941264788 1	0.36 -0.063165490211607 -0.17366629941264788 1
1.32 0.1992988680325518 -0.5849422467905789 1	1.32 0.1992988680325518 -0.5849422467905789 1
2.32 0.15058407570892784 -0.6362300034974941 1	2.32 0.15058407570892784 -0.6362300034974941 1
3.32 0.03744275788254514 -0.6195248987212953 1	3.32 0.03744275788254514 -0.6195248987212953 1
4.32 -1.053807671579261 -0.2790959497522636 1	4.32 -1.053807671579261 -0.2790959497522636 1
5.32 3.0829428886584562 0.521375889356374 1	5.32 3.0829428886584562 0.521375889356374 1
6.32 2.7283733169963513 0.6999323918935993 1	6.32 2.7283733169963513 0.6999323918935993 1
7.32 2.943720068621971 0.19688109832634937 1	7.32 2.943720068621971 0.19688109832634937 1
8.32 2.9396755822397393 0.0968807484106673 1	8.32 2.9396755822397393 0.0968807484106673 1
9.32 2.9333609810060235 -0.15280957994473043 1	9.32 2.9333609810060235 -0.15280957994473043 1
10.32 -2.9575469090408033 -0.43952452020048005 1	10.32 -2.9575469090408033 -0.43952452020048005 1
11.32 -2.832106193143763 -0.5461102766366173 1	11.32 -2.832106193143763 -0.5461102766366173 1
12.32 -2.6958557595805455 -0.5207208672881003 1	12.32 -2.6958557595805455 -0.5207208672881003 1
13.32 -2.4321022802069123 -0.5116840760200492 1	13.32 -2.4321022802069123 -0.5116840760200492 1
14.32 -1.941420065235376 -0.374327990338327 1	14.32 -1.941420065235376 -0.374327990338327 1
15.32 -1.56598592012372 -0.4027785675685016 1	15.32 -1.56598592012372 -0.4027785675685016 1
16.32 -1.1679159716244185 -0.39703070964949383 1	16.32 -1.1679159716244185 -0.39703070964949383 1
17.32 -0.9219575411822198 -0.4011791827485589 1	17.32 -0.9219575411822198 -0.4011791827485589 1
18.32 -0.48705179050104785 -0.6040933956068621 1	18.32 -0.48705179050104785 -0.6040933956068621 1
19.32 -0.13543720088890954 -0.5544172759312391 1	19.32 -0.13543720088890954 -0.5544172759312391 1
20.32 -0.359873208379895 -0.5013303291116133 1	20.32 -0.359873208379895 -0.5013303291116133 1
21.32 -0.34105444006636176 -0.5178683011586407 1	21.32 -0.34105444006636176 -0.5178683011586407 1
22.32 0.3590670757049841 -0.45460385077844556 1	22.32 0.3590670757049841 -0.45460385077844556 1
23.32 0.2232145562672696 -0.6111371604954763 1	23.32 0.2232145562672696 -0.6111371604954763 1
24.32 0.36367453549073847 -0.6598013731773777 1	24.32 0.36367453549073847 -0.6598013731773777 1
25.32 0.922944629593978 -0.5164960534875531 1	25.32 0.922944629593978 -0.5164960534875531 1
26.32 1.0280491250939479 -0.5705901949119192 1	26.32 1.0280491250939479 -0.5705901949119192 1
27.32 0.4246773533196144 -0.4022086826611404 1	27.32 0.4246773533196144 -0.4022086826611404 1
28.32 0.2896045771785216 -0.019590657628520525 1	28.32 0.2896045771785216 -0.019590657628520525 1
29.32 0.15072042083009274 -0.17017441917818266 1	29.32 0.15072042083009274 -0.17017441917818266 1
30.32 -0.3128266017553263 0.05956208343793956 1	30.32 -0.3128266017553263 0.05956208343793956 1
31.32 -0.4916209228564288 -0.15003178372042636 1	31.32 -0.4916209228564288 -0.15003178372042636 1
32.32 -0.19776828409172342 0.6509907765803854 1	32.32 -0.19776828409172342 0.6509907765803854 1
33.32 0.7098912406054789 0.5931402328201215 1	33.32 0.7098912406054789 0.5931402328201215 1
34.32 -0.1529704294885943 0.34154892675003645 1	34.32 -0.1529704294885943 0.34154892675003645 1
35.32 -2.448701199151419 0.34011573218146873 1	35.32 -2.448701199151419 0.34011573218146873 1
36.32 -2.9013717766426987 0.42294350833409844 1	36.32 -2.9013717766426987 0.42294350833409844 1
37.32 -0.4136629294761289 0.5011823600976293 1	37.32 -0.4136629294761289 0.5011823600976293 1
38.32 0.7512157503707995 0.554994700660969 1	38.32 0.7512157503707995 0.554994700660969 1
39.32 1.3837383603777917 0.24253315197198955 1	39.32 1.3837383603777917 0.24253315197198955 1
40.32 0.5283649905328152 0.18153787396548227 1	40.32 0.5283649905328152 0.18153787396548227 1
41.32 -2.448253836357548 0.2729864945188274 1	41.32 -2.448253836357548 0.2729864945188274 1
42.32 2.5854685503698587 0.6890134724667827 1	42.32 2.5854685503698587 0.6890134724667827 1
43.32 2.8669640485909342 0.7136947668311802 1	43.32 2.8669640485909342 0.7136947668311802 1
44.32 -2.900551192641581 -0.20065540774037216 1	44.32 -2.900551192641581 -0.20065540774037216 1
45.32 2.618714768785738 -0.06266597697968646 1	45.32 2.618714768785738 -0.06266597697968646 1
46.32 2.838863758941635 -0.4122316198631535 1	46.32 2.838863758941635 -0.4122316198631535 1
47.32 -2.9601707043932284 -0.14490376203197175 1	47.32 -2.9601707043932284 -0.14490376203197175 1
48.32 -2.844163877075653 -0.2175889063024865 1	48.32 -2.844163877075653 -0.2175889063024865 1
49.32 3.00648531992951 -0.215021596785973 1	49.32 3.00648531992951 -0.215021596785973 1
50.32 -2.7095247663844617 -0.13703627154958675 1	50.32 -2.7095247663844617 -0.13703627154958675 1
51.32 -2.4803584000031127 -0.1437545674392886 1	51.32 -2.4803584000031127 -0.1437545674392886 1
52.32 -2.451225783007844 -0.15762815475680636 1	52.32 -2.451225783007844 -0.15762815475680636 1
53.32 -1.9813610175960552 -0.04942604890039748 1	53.32 -1.9813610175960552 -0.04942604890039748 1
54.32 -1.6316803924214667 -0.08600141305128584 1	54.32 -1.6316803924214667 -0.08600141305128584 1
55.32 -1.6344324275860114 -0.10418872124144807 1	55.32 -1.6344324275860114 -0.10418872124144807 1
56.32 -1.6947095375119081 -0.10232795591272681 1	56.32 -1.6947095375119081 -0.10232795591272681 1
57.32 -1.9150294303081603 0.22976352031294311 1	57.32 -1.9150294303081603 0.22976352031294311 1
58.32 -2.4066359018383823 0.32509295027126806 1	58.32 -2.4066359018383823 0.32509295027126806 1
59.32 3.0662604033493635 0.6231647479697446 1	59.32 3.0662604033493635 0.6231647479697446 1
60.32 2.781696197424261 0.7501139938271852 1	60.32 2.781696197424261 0.7501139938271852 1
61.32 -2.9667182233062808 0.7722254654009463 1	61.32 -2.9667182233062808 0.7722254654009463 1
62.32 -2.604208401875934 0.699107723822032 1	62.32 -2.604208401875934 0.699107723822032 1
63.32 -2.7360432013008253 0.6072111121562849 1	63.32 -2.7360432013008253 0.6072111121562849 1
64.32 -2.395010124064508 0.5080611913719295 1	64.32 -2.395010124064508 0.5080611913719295 1
65.32 -2.5422343920941275 0.6430381489370883 1	65.32 -2.5422343920941275 0.6430381489370883 1
66.32 3.0494290065484906 0.8871672299771014 1	66.32 3.0494290065484906 0.8871672299771014 1
67.32 1.8230360575886824 1.0392049206068448 1	67.32 1.8230360575886824 1.0392049206068448 1
68.32 1.3692694412524178 0.9835604032079316 1	68.32 1.3692694412524178 0.9835604032079316 1
69.32 0.7803904647076259 1.0135500466790996 1	69.32 0.7803904647076259 1.0135500466790996 1
70.32 -0.5715304735931386 0.8993000608052653 1	70.32 -0.5715304735931386 0.8993000608052653 1
71.32 -0.288269400300746 0.9130432720276591 1	71.32 -0.288269400300746 0.9130432720276591 1
72.32 1.6708868404197368 0.6704746200586841 1	72.32 1.6708868404197368 0.6704746200586841 1
73.32 -2.780451121423791 0.45170196164432475 1	73.32 -2.780451121423791 0.45170196164432475 1
74.32 -1.6940529446473078 0.33092845862531095 1	74.32 -1.6940529446473078 0.33092845862531095 1
75.32 -1.2496564425596406 0.5700853409724875 1	75.32 -1.2496564425596406 0.5700853409724875 1
76.32 -1.3417478329699106 0.553807178637912 1	76.32 -1.3417478329699106 0.553807178637912 1
77.32 -1.4433293464681443 0.5618220098157503 1	77.32 -1.4433293464681443 0.5618220098157503 1
78.32 -1.5604900179355299 0.5849114591825738 1	78.32 -1.5604900179355299 0.5849114591825738 1
79.32 -1.5154961279508168 0.4496379352709161 1	79.32 -1.5154961279508168 0.4496379352709161 1
80.32 -1.5589317879793494 -0.16572812309555696 1	80.32 -1.5589317879793494 -0.16572812309555696 1
81.32 -1.5466883730897794 -0.20782295137953755 1	81.32 -1.5466883730897794 -0.20782295137953755 1
82.32 -1.4761395118237053 -0.14593012035189945 1	82.32 -1.4761395118237053 -0.14593012035189945 1
83.32 -1.6110363587761976 -0.23917887349575184 1	83.32 -1.6110363587761976 -0.23917887349575184 1
84.32 -1.5673619377059922 -0.05898277375261762 1	84.32 -1.5673619377059922 -0.05898277375261762 1
85.32 -1.5221663574729185 -0.07807454646774836 1	85.32 -1.5221663574729185 -0.07807454646774836 1
86.32 -1.49341010327755 -0.11199495066708787 1	86.32 -1.49341010327755 -0.11199495066708787 1
87.32 -1.407881499920629 0.010920490223143453 1	87.32 -1.407881499920629 0.010920490223143453 1
88.32 -1.44776276202089 -0.031474360159254644 1	88.32 -1.44776276202089 -0.031474360159254644 1
